"entry","protein_families"
"O43526","Potassium channel family, KQT (TC 1.A.1.15) subfamily, Kv7.2/KCNQ2 sub-subfamily"
"O43529","Sulfotransferase 2 family"
"O43541","Dwarfin/SMAD family"
"O43542","RecA family, RAD51 subfamily"
"O43543","RecA family, RAD51 subfamily"
"O43548","Transglutaminase superfamily, Transglutaminase family"
"O43556","Sarcoglycan alpha/epsilon family"
"O43557","Tumor necrosis factor family"
"O43570","Alpha-carbonic anhydrase family"
"O43581","Synaptotagmin family"
"O43583","DENR family"
"O43592","Exportin family"
"O43597","Sprouty family"
"O43598","2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family"
"O43603","G-protein coupled receptor 1 family"
"O43609","Sprouty family"
"O43610","Sprouty family"
"O43612","Orexin family"
"O43613","G-protein coupled receptor 1 family"
"O43614","G-protein coupled receptor 1 family"
"O43615","Tim44 family"
"O43617","TRAPP small subunits family, BET3 subfamily"
"O43623","Snail C2H2-type zinc-finger protein family"
"O43633","SNF7 family"
"O43660","WD repeat PRL1/PRL2 family"
"O43663","MAP65/ASE1 family"
"O43674","Complex I NDUFB5 subunit family"
"O43676","Complex I NDUFB3 subunit family"
"O43678","Complex I NDUFA2 subunit family"
"O43679","LDB family"
"O43681","ArsA ATPase family"
"O43683","Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily"
"O43684","WD repeat BUB3 family"
"O43688","PA-phosphatase related phosphoesterase family"
"O43699","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"O43704","Sulfotransferase 1 family"
"O43707","Alpha-actinin family"
"O43708","GST superfamily, Zeta family"
"O43709","Class I-like SAM-binding methyltransferase superfamily, BUD23/WBSCR22 family"
"O43715","TRIAP1/MDM35 family"
"O43716","GatC family"
"O43719","HTATSF1 family"
"O43731","ERD2 family"
"O43741","5'-AMP-activated protein kinase beta subunit family"
"O43745","Calcineurin regulatory subunit family, CHP subfamily"
"O43747","Adaptor complexes large subunit family"
"O43749","G-protein coupled receptor 1 family"
"O43752","Syntaxin family"
"O43759","Synaptogyrin family"
"O43760","Synaptogyrin family"
"O43761","Synaptogyrin family"
"O43765","SGT family"
"O43766","Radical SAM superfamily, Lipoyl synthase family"
"O43768","Endosulfine family"
"O43772","Mitochondrial carrier (TC 2.A.29) family"
"O43776","Class-II aminoacyl-tRNA synthetase family"
"O43781","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily"
"O43790","Intermediate filament family"
"O43791","Tdpoz family"
"O43795","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"O43805","SSNA1 family"
"O43808","Mitochondrial carrier (TC 2.A.29) family"
"O43809","Nudix hydrolase family, CPSF5 subfamily"
"O43813","LanC-like protein family"
"O43815","WD repeat striatin family"
"O43818","WD repeat RRP9 family"
"O43819","SCO1/2 family"
"O43820","Glycosyl hydrolase 56 family"
"O43823","AKAP95 family"
"O43825","Glycosyltransferase 31 family"
"O43826","Major facilitator superfamily, Organophosphate:Pi antiporter (OPA) (TC 2.A.1.4) family"
"O43829","Krueppel C2H2-type zinc-finger protein family"
"O43837","Isocitrate and isopropylmalate dehydrogenases family"
"O43847","Peptidase M16 family"
"O43852","CREC family"
"O43861","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"O43865","Adenosylhomocysteinase family"
"O43868","Concentrative nucleoside transporter (CNT) (TC 2.A.41) family"
"O43889","BZIP family, ATF subfamily"
"O43895","Peptidase M24B family"
"O43896","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Unc-104 subfamily"
"O43900","Prickle / espinas / testin family"
"O43903","GAS2 family"
"O43909","Glycosyltransferase 47 family"
"O43913","ORC5 family"
"O43914","TYROBP family"
"O43915","PDGF/VEGF growth factor family"
"O43916","Sulfotransferase 1 family, Gal/GlcNAc/GalNAc subfamily"
"O43920","Complex I NDUFS5 subunit family"
"O43921","Ephrin family"
"O43924","PDE6D/unc-119 family"
"O43927","Intercrine alpha (chemokine CxC) family"
"O43929","ORC4 family"
"O43933","AAA ATPase family"
"O60216","Rad21 family"
"O60218","Aldo/keto reductase family"
"O60220","Small Tim family"
"O60229","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"O60231","DEAD box helicase family, DEAH subfamily, DDX16/PRP8 sub-subfamily"
"O60235","Peptidase S1 family"
"O60238","NIP3 family"
"O60239","SH3BP5 family"
"O60240","Perilipin family"
"O60241","G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
"O60242","G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
"O60243","Sulfotransferase 6 family"
"O60244","Mediator complex subunit 14 family"
"O60256","Ribose-phosphate pyrophosphokinase family"
"O60258","Heparin-binding growth factors family"
"O60259","Peptidase S1 family, Kallikrein subfamily"
"O60260","RBR family, Parkin subfamily"
"O60264","SNF2/RAD54 helicase family, ISWI subfamily"
"O60266","Adenylyl cyclase class-4/guanylyl cyclase family"
"O60271","JIP scaffold family"
"O60281","Krueppel C2H2-type zinc-finger protein family"
"O60282","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin subfamily"
"O60284","MYT1 family"
"O60285","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily"
"O60294","Methyltransferase superfamily, LCMT family"
"O60296","Milton family"
"O60304","Krueppel C2H2-type zinc-finger protein family"
"O60306","CWF11 family"
"O60307","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"O60312","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"O60313","TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family"
"O60315","Delta-EF1/ZFH-1 C2H2-type zinc-finger family"
"O60318","SAC3 family"
"O60333","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Unc-104 subfamily"
"O60341","Flavin monoamine oxidase family"
"O60353","G-protein coupled receptor Fz/Smo family"
"O60356","NUPR family"
"O60359","PMP-22/EMP/MP20 family, CACNG subfamily"
"O60383","TGF-beta family"
"O60391","Glutamate-gated ion channel (TC 1.A.10.1) family, NR3B/GRIN3B subfamily"
"O60423","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"O60427","Fatty acid desaturase type 1 family"
"O60437","Plakin or cytolinker family"
"O60443","Gasdermin family"
"O60462","Neuropilin family"
"O60476","Glycosyl hydrolase 47 family"
"O60477","BRINP family"
"O60478","GPR137 family"
"O60479","Distal-less homeobox family"
"O60481","GLI C2H2-type zinc-finger protein family"
"O60486","Plexin family"
"O60487","Myelin P0 protein family"
"O60488","ATP-dependent AMP-binding enzyme family"
"O60493","Sorting nexin family"
"O60496","DOK family, Type A subfamily"
"O60499","Syntaxin family"
"O60500","Immunoglobulin superfamily"
"O60502","Glycosyl hydrolase 84 family"
"O60503","Adenylyl cyclase class-4/guanylyl cyclase family"
"O60507","Protein sulfotransferase family"
"O60512","Glycosyltransferase 7 family"
"O60513","Glycosyltransferase 7 family"
"O60516","EIF4E-binding protein family"
"O60519","BZIP family, ATF subfamily"
"O60524","NEMF family"
"O60543","CIDE family"
"O60547","NAD(P)-dependent epimerase/dehydratase family, GDP-mannose 4,6-dehydratase subfamily"
"O60551","NMT family"
"O60563","Cyclin family, Cyclin C subfamily"
"O60565","DAN family"
"O60566","Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily"
"O60573","Eukaryotic initiation factor 4E family"
"O60583","Cyclin family, Cyclin C subfamily"
"O60602","Toll-like receptor family"
"O60603","Toll-like receptor family"
"O60609","GDNFR family"
"O60610","Formin homology family, Diaphanous subfamily"
"O60613","Selenoprotein M/F family"
"O60635","Tetraspanin (TM4SF) family"
"O60636","Tetraspanin (TM4SF) family"
"O60641","PICALM/SNAP91 family"
"O60645","SEC6 family"
"O60656","UDP-glycosyltransferase family"
"O60658","Cyclic nucleotide phosphodiesterase family, PDE8 subfamily"
"O60664","Perilipin family"
"O60669","Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family"
"O60671","Rad1 family"
"O60673","DNA polymerase type-B family"
"O60674","Protein kinase superfamily, Tyr protein kinase family, JAK subfamily"
"O60675","BZIP family, Maf subfamily"
"O60678","Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family"
"O60683","Pex2/pex10/pex12 family"
"O60684","Importin alpha family"
"O60701","UDP-glucose/GDP-mannose dehydrogenase family"
"O60704","Protein sulfotransferase family"
"O60706","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"O60711","Paxillin family"
"O60716","Beta-catenin family"
"O60721","Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family, SLC24A subfamily"
"O60725","Class VI-like SAM-binding methyltransferase superfamily, Isoprenylcysteine carboxyl methyltransferase family"
"O60729","Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily"
"O60741","Potassium channel HCN family"
"O60749","Sorting nexin family"
"O60755","G-protein coupled receptor 1 family"
"O60760","GST superfamily, Sigma family"
"O60762","Glycosyltransferase 2 family"
"O60763","VDP/USO1/EDE1 family"
"O60779","Reduced folate carrier (RFC) transporter (TC 2.A.48) family"
"O60783","Universal ribosomal protein uS14 family"
"O60784","TOM1 family"
"O60812","RRM HNRPC family, RALY subfamily"
"O60814","Histone H2B family"
"O60825","Phosphoglycerate mutase family"
"O60826","CCDC22 family"
"O60829","GAGE family"
"O60830","Tim17/Tim22/Tim23 family"
"O60831","PRA1 family"
"O60832","Pseudouridine synthase TruB family"
"O60840","Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1F subfamily"
"O60841","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily"
"O60844","Jacalin lectin family"
"O60858","TRIM/RBCC family"
"O60870","KIN17 family"
"O60879","Formin homology family, Diaphanous subfamily"
"O60882","Peptidase M10A family"
"O60883","G-protein coupled receptor 1 family"
"O60885","BET family"
"O60888","CutA family"
"O60894","RAMP family"
"O60895","RAMP family"
"O60896","RAMP family"
"O60902","Paired homeobox family, Bicoid subfamily"
"O60906","Neutral sphingomyelinase family"
"O60907","WD repeat EBI family"
"O60909","Glycosyltransferase 7 family"
"O60911","Peptidase C1 family"
"O60921","HUS1 family"
"O60925","Prefoldin subunit beta family"
"O60928","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ13 subfamily"
"O60930","RNase H family"
"O60931","Cystinosin family"
"O60934","Nibrin family"
"O60938","Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily"
"O60939","Sodium channel auxiliary subunit SCN2B (TC 8.A.17) family"
"O60941","Dystrophin family, Dystrobrevin subfamily"
"O60942","Non-receptor class of the protein-tyrosine phosphatase family"
"O60942"," Eukaryotic GTase family"
"O75027","ABC transporter superfamily, ABCB family, Heavy Metal importer (TC 3.A.1.210) subfamily"
"O75030","MiT/TFE family"
"O75037","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family"
"O75051","Plexin family"
"O75056","Syndecan proteoglycan family"
"O75063","FAM20 family"
"O75069","TEX28 family"
"O75072","LicD transferase family"
"O75074","LDLR family"
"O75081","CBFA2T family"
"O75083","WD repeat AIP1 family"
"O75084","G-protein coupled receptor Fz/Smo family"
"O75096","LDLR family"
"O75106","Copper/topaquinone oxidase family"
"O75110","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily"
"O75113","N4BP1 family"
"O75116","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"O75122","CLASP family"
"O75127","PTCD1 family"
"O75129","Astrotactin family"
"O75131","Copine family"
"O75140","IML1 family"
"O75143","ATG13 family, Metazoan subfamily"
"O75144","Immunoglobulin superfamily, BTN/MOG family"
"O75145","Liprin family, Liprin-alpha subfamily"
"O75146","SLA2 family"
"O75150","BRE1 family"
"O75151","JHDM1 histone demethylase family, JHDM1D subfamily"
"O75155","CAND family"
"O75161","NPHP4 family"
"O75164","JHDM3 histone demethylase family"
"O75167","Phosphatase and actin regulator family"
"O75170","SAPS family"
"O75175","CNOT2/3/5 family"
"O75177","SS18 family"
"O75185","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily"
"O75191","FGGY kinase family"
"O75192","Peroxin-11 family"
"O75197","LDLR family"
"O75204","TMEM127 family"
"O75208","COQ9 family"
"O75223","Gamma-glutamylcyclotransferase family"
"O75251","Complex I 20 kDa subunit family"
"O75293","GADD45 family"
"O75306","Complex I 49 kDa subunit family"
"O75311","Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA3 sub-subfamily"
"O75312","ZPR1 family"
"O75317","Peptidase C19 family, USP12/USP46 subfamily"
"O75319","Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily"
"O75323","NipSnap family"
"O75324","Stannin family"
"O75326","Semaphorin family"
"O75334","Liprin family, Liprin-alpha subfamily"
"O75342","Lipoxygenase family"
"O75343","Adenylyl cyclase class-4/guanylyl cyclase family"
"O75344","FKBP6 family"
"O75347","TBCA family"
"O75348","V-ATPase G subunit family"
"O75351","AAA ATPase family"
"O75354","GDA1/CD39 NTPase family"
"O75355","GDA1/CD39 NTPase family"
"O75356","GDA1/CD39 NTPase family"
"O75360","Paired homeobox family"
"O75362","Krueppel C2H2-type zinc-finger protein family"
"O75364","Paired homeobox family, Bicoid subfamily"
"O75365","Protein-tyrosine phosphatase family"
"O75366","Villin/gelsolin family"
"O75367","Histone H2A family"
"O75368","SH3BGR family"
"O75369","Filamin family"
"O75376","N-CoR nuclear receptor corepressors family"
"O75379","Synaptobrevin family"
"O75380","Complex I NDUFS6 subunit family"
"O75381","Peroxin-14 family"
"O75382","TRIM/RBCC family"
"O75385","Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily"
"O75386","TUB family"
"O75387","SLC43A transporter (TC 2.A.1.44) family"
"O75390","Citrate synthase family"
"O75396","Synaptobrevin family"
"O75400","PRPF40 family"
"O75410","TACC family"
"O75414","NDK family"
"O75417","DNA polymerase type-A family"
"O75419","CDC45 family"
"O75420","GIGYF family"
"O75431","Metaxin family"
"O75436","VPS26 family"
"O75438","Complex I NDUFB1 subunit family"
"O75439","Peptidase M16 family"
"O75444","BZIP family, Maf subfamily"
"O75446","SAP30 family"
"O75448","Mediator complex subunit 24 family"
"O75449","AAA ATPase family, Katanin p60 subunit A1 subfamily"
"O75452","Short-chain dehydrogenases/reductases (SDR) family"
"O75460","Protein kinase superfamily, Ser/Thr protein kinase family"
"O75461","E2F/DP family"
"O75462","Type I cytokine receptor family, Type 3 subfamily"
"O75469","Nuclear hormone receptor family, NR1 subfamily"
"O75473","G-protein coupled receptor 1 family"
"O75475","HDGF family"
"O75477","Band 7/mec-2 family"
"O75486","SPT3 family"
"O75487","Glypican family"
"O75489","Complex I 30 kDa subunit family"
"O75494","Splicing factor SR family"
"O75496","Geminin family"
"O75503","CLN5 family"
"O75506","HSBP1 family"
"O75508","Claudin family"
"O75521","Enoyl-CoA hydratase/isomerase family"
"O75525","KHDRBS family"
"O75528","NGG1 family"
"O75529","WD repeat TAF5 family"
"O75530","WD repeat ESC family"
"O75531","BAF family"
"O75533","SF3B1 family"
"O75534","UNR family"
"O75556","Secretoglobin family, Lipophilin subfamily"
"O75558","Syntaxin family"
"O75563","SKAP family"
"O75564","Tigger transposable element derived protein family"
"O75569","PRKRA family"
"O75570","Prokaryotic/mitochondrial release factor family"
"O75575","Eukaryotic RPC9 RNA polymerase subunit family"
"O75578","Integrin alpha chain family"
"O75581","LDLR family"
"O75582","Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily"
"O75586","Mediator complex subunit 6 family"
"O75592","RING-Cys relay (RCR) family"
"O75594","N-acetylmuramoyl-L-alanine amidase 2 family"
"O75600","Class-II pyridoxal-phosphate-dependent aminotransferase family"
"O75604","Peptidase C19 family, USP2 subfamily"
"O75607","Nucleoplasmin family"
"O75608","AB hydrolase superfamily, AB hydrolase 2 family"
"O75610","TGF-beta family"
"O75616","TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Era GTPase family"
"O75626","Class V-like SAM-binding methyltransferase superfamily"
"O75628","Small GTPase superfamily, RGK family"
"O75629","CREG family"
"O75631","Uroplakin-3 family"
"O75636","Ficolin lectin family"
"O75638","CTAG/PCC1 family"
"O75643","Helicase family, SKI2 subfamily"
"O75648","MnmA/TRMU family"
"O75663","TIP41 family"
"O75665","OFD1 family"
"O75674","TOM1 family"
"O75676","Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily"
"O75683","SURF6 family"
"O75688","PP2C family"
"O75691","UTP20 family"
"O75694","Non-repetitive/WGA-negative nucleoporin family"
"O75695","TBCC family"
"O75712","Connexin family, Beta-type (group I) subfamily"
"O75716","Protein kinase superfamily, Ser/Thr protein kinase family"
"O75718","Leprecan family"
"O75746","Mitochondrial carrier (TC 2.A.29) family"
"O75747","PI3/PI4-kinase family"
"O75751","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"O75752","Glycosyltransferase 31 family"
"O75762","Transient receptor (TC 1.A.4) family"
"O75771","RecA family, RAD51 subfamily"
"O75781","Paralemmin family"
"O75783","Peptidase S54 family"
"O75791","GRB2/sem-5/DRK family"
"O75792","RNase HII family, Eukaryotic subfamily"
"O75794","CDC123 family"
"O75795","UDP-glycosyltransferase family"
"O75800","ZMYND10 family"
"O75807","PPP1R15 family"
"O75808","Peptidase C2 family"
"O75817","Histone-like Alba family"
"O75821","EIF-3 subunit G family"
"O75822","EIF-3 subunit J family"
"O75828","Short-chain dehydrogenases/reductases (SDR) family"
